MAH organisation name,Product Authorisation country
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
GRUNENTHAL PHARMA LIMITED,Ireland
GRUENENTHAL GMBH,Iceland
GRUENENTHAL GMBH,Sweden
,Austria
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Hungary
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Hungary
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Hungary
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Hungary
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
DOMPE' FARMACEUTICI S.P.A.,Italy
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Romania
GRUENENTHAL GMBH,Romania
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
LABORATORIOS AZEVEDOS INDUSTRIA FARMACEUTICA S.A.,Portugal
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Germany
KRKA SVERIGE AB,Norway
SANDOZ PHARMACEUTICALS D.D.,Latvia
GENERIS FARMACEUTICA S.A.,Portugal
GENERIS FARMACEUTICA S.A.,Portugal
TORRENT PHARMA (UK) LIMITED,United Kingdom (Northern Ireland)
S.F. GROUP S.R.L.,Denmark
EPIFARMA S.R.L.,Italy
EPIFARMA S.R.L.,Italy
EPIFARMA S.R.L.,Italy
EPIFARMA S.R.L.,Italy
EPIFARMA S.R.L.,Italy
EPIFARMA S.R.L.,Italy
ASTRAZENECA AB,Lithuania
TOWA PHARMACEUTICAL S.A.,Portugal
TOWA PHARMACEUTICAL S.A.,Portugal
ADOH B.V.,Netherlands
2CARE4 GENERICS APS,Sweden
CRESCENT PHARMA LIMITED,United Kingdom (Northern Ireland)
GRUNENTHAL PHARMA S.A.,Spain
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
TEVA B.V.,Lithuania
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
ETHYPHARM,France
TARBIS FARMA S.L.,Spain
FARMALIDER S.A.,Spain
CIPLA EUROPE,Portugal
CIPLA EUROPE,Portugal
CIPLA EUROPE,Portugal
ACCORD HEALTHCARE S.L.U.,Italy
ACCORD HEALTHCARE S.L.U.,Italy
ACCORD HEALTHCARE S.L.U.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Spain
LABORATOIRES GRUNENTHAL,France
LABORATOIRES GRUNENTHAL,France
LABORATOIRES GRUNENTHAL,France
LABORATOIRES GRUNENTHAL,France
LABORATOIRES GRUNENTHAL,France
LABORATOIRES GRUNENTHAL,France
ARISTO PHARMA GMBH,Germany
TOWA PHARMACEUTICAL S.A.,Portugal
TOWA PHARMACEUTICAL S.A.,Portugal
TOWA PHARMACEUTICAL S.A.,Portugal
TOWA PHARMACEUTICAL S.A.,Portugal
TOWA PHARMACEUTICAL S.A.,Portugal
TOWA PHARMACEUTICAL S.A.,Portugal
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
TOWA PHARMACEUTICAL EUROPE S.L.,Spain
LDP LABORATORIOS TORLAN S.A.,France
LDP LABORATORIOS TORLAN S.A.,France
LDP LABORATORIOS TORLAN S.A.,France
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
AUROBINDO PHARMA (ITALIA) S.R.L.,Italy
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
TERAPIA S.A.,Romania
LABORATORIOS NORMON S.A.,Spain
BRILLPHARMA LIMITED,United Kingdom (Northern Ireland)
SANDOZ B.V.,Netherlands
ZENTIVA K.S.,Slovakia
GEBRO PHARMA GMBH,Austria
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
SANDOZ,France
MYLAN S.P.A. CON SOCIO UNICO,Italy
MYLAN S.P.A. CON SOCIO UNICO,Italy
ZENTIVA K.S.,Poland
ARISTO PHARMA GMBH,Germany
ARISTO PHARMA GMBH,Germany
SUN PHARMACEUTICALS GERMANY GMBH,Germany
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GALPHARM HEALTHCARE LIMITED,United Kingdom (Northern Ireland)
ALTER S.A.,Portugal
ALTER S.A.,Portugal
ACTAVIS GROUP PTC EHF.,Norway
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,United Kingdom (Northern Ireland)
TAD PHARMA GMBH,Malta
GRUENENTHAL GMBH,Slovenia
GRUNENTHAL,Luxembourg
GALPHARM HEALTHCARE LIMITED,United Kingdom (Northern Ireland)
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
IQ PHARMATEK LIMITED,Ireland
TEVA PHARMA B.V.,Slovenia
TEVA PHARMA B.V.,Slovenia
GRUNENTHAL,Luxembourg
ASTRAZENECA UK LIMITED,United Kingdom (Northern Ireland)
BASICS GMBH,Germany
TEVA B.V.,Estonia
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
GRUNENTHAL ITALIA S.R.L.,Italy
ASTRAZENECA UK LIMITED,United Kingdom (Northern Ireland)
GRUENENTHAL GMBH,Denmark
PINEWOOD LABORATORIES LIMITED,Ireland
TORRENT PHARMA (UK) LIMITED,United Kingdom (Northern Ireland)
MYLAN LDA.,Portugal
MYLAN LDA.,Portugal
MYLAN LDA.,Portugal
MYLAN LDA.,Portugal
MYLAN LDA.,Portugal
ARISTO PHARMA GMBH,Germany
ARISTO PHARMA GMBH,Germany
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
EG S.P.A.,Italy
ACCORD HEALTHCARE B.V.,Denmark
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Estonia
ARISTO PHARMA GMBH,Germany
ZYDUS FRANCE,France
ZYDUS FRANCE,France
ZYDUS FRANCE,France
ZYDUS FRANCE,France
ZYDUS FRANCE,France
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Italy
TARBIS FARMA S.L.,Spain
CLONMEL HEALTHCARE LIMITED,Ireland
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
S.F. GROUP S.R.L.,Italy
TORRENT PHARMA (UK) LIMITED,United Kingdom (Northern Ireland)
ZENTIVA K.S.,Poland
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
ACTAVIS GROUP PTC EHF.,Norway
GRUENENTHAL GMBH,Iceland
KRKA SVERIGE AB,Norway
ARISTO PHARMA GMBH,Austria
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Denmark
GRUENENTHAL GMBH,Sweden
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ACTAVIS GROUP PTC EHF.,Hungary
ALMUS S.R.L.,Italy
ALMUS S.R.L.,Italy
ALMUS S.R.L.,Italy
ORIFARM GENERICS A/S,Denmark
MABO FARMA S.A.,Spain
PHARMATHEN S.A.,Greece
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Poland
ABZ-PHARMA GMBH,Germany
GRUNENTHAL,Luxembourg
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Netherlands
GRUENENTHAL GMBH,Iceland
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
EVOLUPHARM,France
TEVA B.V.,Latvia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS GMBH,Slovenia
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
SANDOZ PHARMACEUTICALS D.D.,Lithuania
ARISTO PHARMA GMBH,Denmark
GRUENENTHAL S.A.,Portugal
GRUENENTHAL S.A.,Portugal
GRUENENTHAL S.A.,Portugal
GRUENENTHAL S.A.,Portugal
GRUENENTHAL S.A.,Portugal
ARROW GENERIQUES,France
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
DOC GENERICI S.R.L.,Italy
RATIOPHARM GMBH,Slovenia
RATIOPHARM GMBH,Slovenia
RATIOPHARM GMBH,Slovenia
RATIOPHARM GMBH,Slovenia
SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,Netherlands
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
GRUNENTHAL,Belgium
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AXONE LDA.,Portugal
AURORA LICENSING S.R.L.,Italy
AURORA LICENSING S.R.L.,Italy
LABORATOIRES ALTER,France
LABORATORIOS AZEVEDOS INDUSTRIA FARMACEUTICA S.A.,Portugal
LABORATORIOS AZEVEDOS INDUSTRIA FARMACEUTICA S.A.,Portugal
JUBILANT PHARMACEUTICALS,Denmark
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
CICLUM FARMA UNIPESSOAL LDA.,Portugal
